index,family,number
0,jiagu,1813
1,kuguo,424
2,dowgin,412
3,dnotua,275
4,airpush,252
5,inmobi,187
6,smsreg,159
7,gappusin,128
8,secapk,125
9,adwo,121
10,leadbolt,97
11,revmob,90
12,admogo,78
13,domob,73
14,youmi,71
15,anydown,62
16,locker,60
17,score,58
18,feiwo,52
19,tencentprotect,47
20,utchi,44
21,appsgeyser,33
22,plankton,32
23,baiduprotect,28
24,ewind,28
25,igexin,28
26,zdtad,28
27,umpay,26
28,smspay,25
29,secneo,24
30,autoins,22
31,mobwin,21
32,cauly,19
33,hiddad,19
34,kyview,19
35,fakeinst,18
36,ginmaster,18
37,mobidash,17
38,skymobi,17
39,wapron,16
40,fakeapp,15
41,tachi,14
42,appoffer,13
43,datacollector,12
44,apptrack,11
45,uapush,11
46,utilcode,11
47,hiddenad,10
48,drosel,9
49,pushad,9
50,fictus,8
51,gexin,8
52,ztorg,8
53,addisplay,7
54,cnzz,7
55,dianjin,7
56,hypay,7
57,syringe,7
58,viser,7
59,cimsci,6
60,frupi,6
61,marsdaemon,6
62,mobisec,6
63,skplanet,6
64,stopsms,6
65,wkload,6
66,appflood,5
67,autoinst,5
68,boogr,5
69,callflakes,5
70,dasu,5
71,mecor,5
72,minimob,5
73,opfake,5
74,presenoker,5
75,qumi,5
76,shedun,5
77,torjok,5
78,xinhua,5
79,commplat,4
80,fengvi,4
81,hiddenads,4
82,hifrm,4
83,kyvu,4
84,ldpinch,4
85,malmix,4
86,pandaad,4
87,smsagent,4
88,tapcore,4
89,triada,4
90,zbot,4
91,adleak,3
92,andup,3
93,boqx,3
94,dataeye,3
95,dianru,3
96,droidkungfu,3
97,erop,3
98,fobus,3
99,gatf,3
100,goldentouch,3
101,ksapp,3
102,lotoor,3
103,mulad,3
104,smsspy,3
105,startapp,3
106,sweep,3
107,teddad,3
