permission,API,ICC
android.permission.ACCEPT_HANDOVER,ActivityManager.getLargeMemoryClass,android.intent.action.ANSWER
android.permission.ACCESS_BACKGROUND_LOCATION,ActivityManager.getRunningAppProcesses,android.intent.action.ATTACH_DATA
android.permission.ACCESS_BLOBS_ACROSS_USERS,ActivityManager.isLowRamDevice,android.intent.action.BATTERY_CHANGED
android.permission.ACCESS_CHECKIN_PROPERTIES,ActivityManager.killBackgroundProcesses,android.intent.action.BOOT_COMPLETED
android.permission.ACCESS_COARSE_LOCATION,ActivityManager.restartPackage,android.intent.action.CALL
android.permission.ACCESS_FINE_LOCATION,BluetoothAdapter.cancelDiscovery,android.intent.action.CHOOSER
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,BluetoothAdapter.getAddress,android.intent.action.DELETE
android.permission.ACCESS_MEDIA_LOCATION,BluetoothAdapter.getBondedDevices,android.intent.action.DIAL
android.permission.ACCESS_NETWORK_STATE,BluetoothAdapter.getRemoteDevice,android.intent.action.EDIT
android.permission.ACCESS_NOTIFICATION_POLICY,BluetoothSocket.connect,android.intent.action.FACTORY_TEST
android.permission.ACCESS_WIFI_STATE,ContentResolver.bulkInsert,android.intent.action.GET_CONTENT
android.permission.ACCOUNT_MANAGER,ContentResolver.delete,android.intent.action.INSERT
android.permission.ACTIVITY_RECOGNITION,ContentResolver.getType,android.intent.action.MAIN
android.permission.ADD_VOICEMAIL,ContentResolver.openAssetFileDescriptor,android.intent.action.PACKAGE_ADDED
android.permission.ANSWER_PHONE_CALLS,ContentResolver.query,android.intent.action.PACKAGE_CHANGED
android.permission.BATTERY_STATS,ContentResolver.registerContentObserver,android.intent.action.PACKAGE_DATA_CLEARED
android.permission.BIND_ACCESSIBILITY_SERVICE,ContentResolver.update,android.intent.action.PACKAGE_REMOVED
android.permission.BIND_APPWIDGET,DownloadManager.enqueue,android.intent.action.PACKAGE_RESTARTED
android.permission.BIND_AUTOFILL_SERVICE,DownloadManager.query,android.intent.action.PACKAGES_SUSPENDED
android.permission.BIND_CALL_REDIRECTION_SERVICE,HttpURLConnection.disconnect,android.intent.action.PACKAGES_UNSUSPENDED
android.permission.BIND_CARRIER_MESSAGING_CLIENT_SERVICE,HttpURLConnection.getContentEncoding,android.intent.action.PICK
android.permission.BIND_CARRIER_MESSAGING_SERVICE,HttpURLConnection.getPermission,android.intent.action.PICK_ACTIVITY
android.permission.BIND_CARRIER_SERVICES,HttpURLConnection.getRequestMethod,android.intent.action.POWER_CONNECTED
android.permission.BIND_CHOOSER_TARGET_SERVICE,HttpURLConnection.getResponseCode,android.intent.action.POWER_DISCONNECTED
android.permission.BIND_COMPANION_DEVICE_SERVICE,HttpURLConnection.getResponseMessage,android.intent.action.RUN
android.permission.BIND_CONDITION_PROVIDER_SERVICE,HttpURLConnection.usingProxy,android.intent.action.SEARCH
android.permission.BIND_CONTROLS,LocationManager.addGpsStatusListener,android.intent.action.SEND
android.permission.BIND_DEVICE_ADMIN,LocationManager.addNmeaListener,android.intent.action.SENDTO
android.permission.BIND_DREAM_SERVICE,LocationManager.addProximityAlert,android.intent.action.SHUTDOWN
android.permission.BIND_INCALL_SERVICE,LocationManager.addTestProvider,android.intent.action.SYNC
android.permission.BIND_INPUT_METHOD,LocationManager.clearTestProviderLocation,android.intent.action.TIME_CHANGED
android.permission.BIND_MIDI_DEVICE_SERVICE,LocationManager.getBestProvider,android.intent.action.TIME_TICK
android.permission.BIND_NFC_SERVICE,LocationManager.getGpsStatus,android.intent.action.TIMEZONE_CHANGED
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE,LocationManager.getLastKnownLocation,android.intent.action.UID_REMOVED
android.permission.BIND_PRINT_SERVICE,LocationManager.requestLocationUpdates,android.intent.action.VIEW
android.permission.BIND_QUICK_ACCESS_WALLET_SERVICE,LocationManager.sendExtraCommand,android.intent.action.WEB_SEARCH
android.permission.BIND_QUICK_SETTINGS_TILE,NotificationManager.cancel,android.intent.category.ALTERNATIVE
android.permission.BIND_REMOTEVIEWS,NotificationManager.notify,android.intent.category.APP_MARKET
android.permission.BIND_SCREENING_SERVICE,PackageManager.checkPermission,android.intent.category.BROWSABLE
android.permission.BIND_TELECOM_CONNECTION_SERVICE,PowerManager.isInteractive,android.intent.category.CAR_DOCK
android.permission.BIND_TEXT_SERVICE,PowerManager.isScreenOn,android.intent.category.CAR_MODE
android.permission.BIND_TV_INPUT,PowerManager.newWakeLock,android.intent.category.DEFAULT
android.permission.BIND_VISUAL_VOICEMAIL_SERVICE,Runtime.addShutdownHook,android.intent.category.DESK_DOCK
android.permission.BIND_VOICE_INTERACTION,Runtime.exec,android.intent.category.HE_DESK_DOCK
