fold,classifier,all false,large false,medium false,small false,sample index,sample true family,sample false family
0,dtree,34,4,8,22,"[5, 6, 14, 35, 39, 42, 47, 65, 67, 75, 80, 84, 88, 94, 97, 108, 111, 113, 139, 140, 144, 154, 168, 171, 184, 186, 187, 188, 190, 194, 195, 202, 217, 218]","[5, 6, 8, 13, 13, 15, 20, 29, 31, 32, 35, 39, 43, 49, 52, 54, 57, 59, 67, 68, 72, 82, 87, 90, 94, 96, 97, 98, 100, 104, 105, 112, 127, 128]","[53, 39, 13, 32, 32, 58, 24, 53, 58, 13, 85, 84, 64, 64, 47, 24, 119, 55, 89, 50, 50, 64, 8, 24, 24, 72, 8, 32, 85, 32, 85, 32, 63, 3]"
1,dtree,29,7,2,20,"[4, 5, 24, 30, 31, 34, 37, 42, 47, 67, 69, 75, 84, 90, 94, 97, 108, 139, 140, 163, 186, 188, 190, 193, 195, 198, 205, 217, 218]","[4, 5, 9, 12, 13, 13, 13, 15, 20, 31, 32, 32, 39, 45, 49, 52, 54, 67, 68, 85, 96, 98, 100, 103, 105, 108, 115, 127, 128]","[30, 85, 99, 24, 32, 32, 32, 58, 32, 58, 85, 13, 49, 102, 24, 60, 24, 69, 89, 32, 72, 32, 58, 102, 48, 78, 58, 63, 88]"
2,dtree,35,2,6,27,"[4, 5, 7, 28, 29, 38, 39, 42, 47, 63, 65, 67, 80, 81, 84, 91, 94, 97, 108, 127, 139, 142, 144, 150, 183, 186, 188, 190, 191, 195, 198, 200, 209, 217, 218]","[4, 5, 7, 10, 11, 13, 13, 15, 20, 27, 29, 31, 35, 36, 39, 46, 49, 52, 54, 64, 67, 70, 72, 78, 93, 96, 98, 100, 101, 105, 108, 110, 119, 127, 128]","[6, 32, 8, 120, 2, 32, 32, 58, 24, 58, 24, 58, 85, 30, 50, 24, 72, 106, 53, 76, 89, 8, 7, 85, 53, 72, 32, 32, 45, 85, 56, 72, 57, 63, 90]"
3,dtree,26,3,2,21,"[5, 42, 47, 67, 76, 80, 84, 88, 90, 94, 97, 108, 111, 113, 140, 157, 173, 186, 187, 188, 190, 195, 208, 211, 217, 218]","[5, 15, 20, 31, 32, 35, 39, 43, 45, 49, 52, 54, 57, 59, 68, 85, 91, 96, 97, 98, 100, 105, 118, 121, 127, 128]","[53, 58, 32, 58, 13, 85, 23, 64, 32, 2, 60, 49, 119, 64, 53, 34, 72, 72, 78, 32, 85, 48, 64, 120, 63, 59]"
4,dtree,33,5,3,25,"[2, 4, 5, 7, 8, 16, 29, 33, 37, 38, 42, 47, 64, 67, 84, 90, 94, 96, 97, 108, 147, 150, 186, 188, 189, 190, 191, 195, 198, 202, 208, 217, 218]","[2, 4, 5, 7, 8, 8, 11, 13, 13, 13, 15, 20, 28, 31, 39, 45, 49, 51, 52, 54, 75, 78, 96, 98, 99, 100, 101, 105, 108, 112, 118, 127, 128]","[50, 72, 85, 93, 72, 50, 130, 32, 32, 32, 58, 24, 25, 58, 50, 55, 72, 101, 106, 24, 32, 108, 72, 32, 4, 85, 24, 85, 32, 55, 93, 63, 90]"
5,dtree,38,6,6,26,"[4, 5, 35, 40, 42, 47, 67, 80, 84, 94, 97, 103, 108, 113, 127, 140, 141, 142, 144, 147, 151, 157, 160, 162, 183, 186, 188, 190, 191, 195, 196, 198, 202, 209, 215, 217, 218, 220]","[4, 5, 13, 13, 15, 20, 31, 35, 39, 49, 52, 53, 54, 59, 64, 68, 69, 70, 72, 75, 79, 85, 85, 85, 93, 96, 98, 100, 101, 105, 106, 108, 112, 119, 125, 127, 128, 130]","[84, 8, 32, 32, 58, 108, 58, 85, 9, 72, 32, 61, 8, 9, 43, 53, 67, 44, 24, 100, 24, 34, 34, 34, 55, 72, 32, 58, 73, 85, 13, 32, 55, 57, 23, 63, 29, 22]"
6,dtree,31,5,4,22,"[5, 8, 36, 39, 42, 47, 63, 65, 67, 80, 84, 88, 94, 95, 97, 108, 111, 140, 164, 168, 172, 186, 188, 190, 191, 195, 202, 205, 211, 217, 218]","[5, 8, 13, 13, 15, 20, 27, 29, 31, 35, 39, 43, 49, 50, 52, 54, 57, 68, 85, 87, 91, 96, 98, 100, 101, 105, 112, 115, 121, 127, 128]","[53, 17, 106, 32, 58, 24, 58, 53, 58, 85, 113, 64, 29, 8, 101, 29, 119, 53, 34, 53, 84, 72, 32, 90, 62, 107, 32, 58, 2, 8, 90]"
7,dtree,32,3,6,23,"[4, 5, 7, 12, 24, 42, 47, 55, 67, 80, 84, 89, 90, 94, 95, 97, 108, 139, 140, 148, 154, 156, 186, 187, 188, 190, 195, 198, 209, 217, 218, 219]","[4, 5, 7, 8, 9, 15, 20, 24, 31, 35, 39, 44, 45, 49, 50, 52, 54, 67, 68, 76, 82, 84, 96, 97, 98, 100, 105, 108, 119, 127, 128, 129]","[84, 85, 23, 72, 91, 58, 86, 94, 58, 85, 53, 46, 53, 64, 8, 32, 91, 69, 89, 58, 51, 58, 72, 8, 32, 85, 85, 111, 83, 63, 72, 70]"
8,dtree,31,5,4,22,"[4, 5, 31, 32, 33, 35, 42, 47, 65, 67, 80, 84, 91, 94, 95, 97, 108, 142, 161, 168, 183, 186, 188, 190, 191, 195, 198, 202, 209, 217, 218]","[4, 5, 13, 13, 13, 13, 15, 20, 29, 31, 35, 39, 46, 49, 50, 52, 54, 70, 85, 87, 93, 96, 98, 100, 101, 105, 108, 112, 119, 127, 128]","[99, 32, 32, 32, 32, 32, 58, 24, 23, 58, 85, 50, 44, 125, 53, 59, 53, 53, 34, 8, 2, 72, 32, 85, 80, 107, 78, 32, 57, 63, 90]"
9,dtree,32,4,6,22,"[5, 17, 23, 35, 42, 47, 67, 78, 80, 84, 88, 90, 94, 97, 105, 108, 111, 127, 140, 150, 168, 186, 188, 190, 192, 195, 198, 202, 217, 218, 219, 220]","[5, 8, 9, 13, 15, 20, 31, 33, 35, 39, 43, 45, 49, 52, 53, 54, 57, 64, 68, 78, 87, 96, 98, 100, 102, 105, 108, 112, 127, 128, 129, 130]","[53, 24, 55, 32, 58, 108, 58, 24, 94, 19, 64, 41, 72, 32, 50, 8, 119, 52, 55, 85, 53, 72, 32, 58, 47, 85, 56, 24, 63, 29, 53, 8]"
