fold,classifier,large pre,large re,large f1,medium pre,medium re,medium f1,small pre,small re,small f1,all acc,all pre,all re,all f1,all mcc
0,dtree,0.8578,0.96,0.9019,0.737,0.8222,0.763,0.6875,0.7105,0.6939,0.8462,0.7746,0.8462,0.8021,0.843
1,dtree,0.8943,0.93,0.9071,0.8785,0.9556,0.9,0.7039,0.7368,0.7149,0.8688,0.8256,0.8688,0.8396,0.8663
2,dtree,0.8872,0.98,0.9246,0.7611,0.8667,0.7941,0.6118,0.6447,0.6228,0.8416,0.7668,0.8416,0.7942,0.8385
3,dtree,0.922,0.97,0.9437,0.8815,0.9556,0.9037,0.6875,0.7237,0.6982,0.8824,0.8331,0.8824,0.8511,0.88
4,dtree,0.9163,0.95,0.9221,0.8137,0.9333,0.8459,0.6623,0.6711,0.6645,0.8507,0.8081,0.8507,0.818,0.8482
5,dtree,0.8733,0.94,0.9006,0.7519,0.8667,0.7844,0.625,0.6579,0.636,0.8281,0.7632,0.8281,0.786,0.8246
6,dtree,0.9111,0.95,0.9249,0.8007,0.9111,0.8333,0.6842,0.7105,0.693,0.8597,0.8106,0.8597,0.8265,0.8571
7,dtree,0.9032,0.97,0.9313,0.7656,0.8667,0.7941,0.6579,0.6974,0.6711,0.8552,0.7908,0.8552,0.8138,0.8524
8,dtree,0.8994,0.95,0.9122,0.7963,0.9111,0.8333,0.6776,0.7105,0.6886,0.8597,0.8021,0.8597,0.8193,0.8573
9,dtree,0.894,0.96,0.9218,0.7648,0.8667,0.7941,0.6842,0.7105,0.693,0.8552,0.7955,0.8552,0.8171,0.8523
0,knn,0.8761,0.93,0.894,0.8,0.8667,0.8222,0.7675,0.8026,0.7785,0.8733,0.8233,0.8733,0.8397,0.871
1,knn,0.8847,0.91,0.8895,0.9019,0.9778,0.9237,0.7807,0.8026,0.7873,0.8869,0.8524,0.8869,0.8613,0.885
2,knn,0.8949,0.96,0.9223,0.8407,0.9111,0.863,0.761,0.7895,0.7697,0.8914,0.8378,0.8914,0.8578,0.8893
