fold,classifier,all false,large false,medium false,small false,sample index,sample true family,sample false family
0,dtree,39,7,10,22,"[5, 6, 8, 14, 28, 42, 47, 56, 57, 60, 65, 67, 75, 80, 84, 88, 90, 91, 94, 97, 108, 111, 113, 140, 144, 154, 156, 168, 180, 184, 186, 187, 190, 192, 195, 198, 202, 215, 217]","[5, 6, 8, 8, 10, 15, 20, 24, 24, 24, 29, 31, 32, 35, 39, 43, 45, 46, 49, 52, 54, 57, 59, 68, 72, 82, 84, 87, 91, 94, 96, 97, 100, 102, 105, 108, 112, 125, 127]","[24, 28, 53, 117, 69, 58, 24, 45, 53, 29, 53, 58, 13, 85, 37, 64, 66, 11, 64, 103, 49, 119, 12, 87, 50, 92, 4, 12, 103, 27, 72, 72, 85, 53, 94, 8, 121, 61, 63]"
1,dtree,31,10,4,17,"[4, 5, 8, 9, 37, 42, 47, 58, 59, 67, 69, 75, 84, 89, 90, 94, 97, 99, 109, 139, 140, 144, 163, 174, 184, 186, 190, 193, 195, 198, 217]","[4, 5, 8, 8, 13, 15, 20, 24, 24, 31, 32, 32, 39, 44, 45, 49, 52, 53, 55, 67, 68, 72, 85, 91, 94, 96, 100, 103, 105, 108, 127]","[30, 85, 85, 94, 32, 58, 94, 68, 53, 58, 85, 13, 91, 79, 53, 125, 32, 8, 53, 5, 8, 28, 32, 84, 35, 72, 58, 102, 85, 78, 63]"
2,dtree,31,4,6,21,"[2, 4, 5, 6, 7, 27, 28, 39, 41, 42, 47, 50, 63, 65, 67, 80, 81, 94, 97, 142, 174, 179, 183, 186, 190, 191, 192, 195, 198, 202, 209]","[2, 4, 5, 6, 7, 9, 10, 13, 14, 15, 20, 23, 27, 29, 31, 35, 36, 49, 52, 70, 91, 91, 93, 96, 100, 101, 102, 105, 108, 112, 119]","[130, 123, 67, 97, 23, 97, 88, 32, 82, 58, 24, 50, 94, 55, 58, 85, 30, 72, 106, 12, 28, 59, 8, 72, 90, 89, 103, 118, 119, 12, 57]"
3,dtree,32,6,5,21,"[5, 42, 47, 53, 67, 69, 75, 76, 80, 84, 88, 94, 97, 107, 108, 109, 111, 113, 139, 140, 156, 157, 186, 187, 190, 195, 198, 202, 205, 208, 217, 220]","[5, 15, 20, 24, 31, 32, 32, 32, 35, 39, 43, 49, 52, 53, 54, 55, 57, 59, 67, 68, 84, 85, 96, 97, 100, 105, 108, 112, 115, 118, 127, 130]","[24, 58, 18, 53, 58, 13, 98, 13, 85, 19, 64, 24, 32, 24, 102, 29, 119, 32, 10, 125, 91, 34, 72, 92, 85, 94, 92, 76, 27, 64, 63, 94]"
4,dtree,32,5,6,21,"[2, 4, 5, 8, 16, 29, 38, 42, 47, 59, 64, 67, 73, 84, 89, 90, 94, 95, 96, 97, 124, 147, 150, 170, 186, 187, 190, 191, 195, 198, 208, 217]","[2, 4, 5, 8, 8, 11, 13, 15, 20, 24, 28, 31, 32, 39, 44, 45, 49, 50, 51, 52, 61, 75, 78, 89, 96, 97, 100, 101, 105, 108, 118, 127]","[72, 23, 85, 59, 24, 72, 32, 58, 24, 54, 72, 58, 98, 19, 70, 3, 72, 72, 89, 103, 125, 104, 108, 90, 72, 91, 85, 22, 94, 32, 93, 63]"
5,dtree,33,7,4,22,"[4, 5, 18, 42, 47, 51, 60, 67, 77, 80, 84, 91, 94, 97, 124, 127, 139, 140, 141, 142, 144, 147, 157, 160, 162, 183, 186, 190, 195, 196, 209, 217, 218]","[4, 5, 9, 15, 20, 24, 24, 31, 32, 35, 39, 46, 49, 52, 61, 64, 67, 68, 69, 70, 72, 75, 85, 85, 85, 93, 96, 100, 105, 106, 119, 127, 128]","[84, 89, 123, 58, 101, 5, 91, 58, 108, 85, 37, 2, 115, 32, 26, 43, 89, 53, 2, 112, 24, 55, 34, 34, 34, 26, 72, 58, 85, 21, 57, 63, 67]"
6,dtree,33,8,7,18,"[5, 8, 25, 36, 39, 42, 47, 57, 63, 64, 65, 67, 80, 84, 88, 94, 95, 97, 102, 108, 111, 139, 144, 145, 164, 168, 170, 176, 186, 190, 194, 195, 205]","[5, 8, 9, 13, 13, 15, 20, 24, 27, 28, 29, 31, 35, 39, 43, 49, 50, 52, 53, 54, 57, 67, 72, 73, 85, 87, 89, 91, 96, 100, 104, 105, 115]","[49, 77, 24, 49, 59, 58, 24, 49, 14, 26, 53, 58, 85, 37, 64, 29, 24, 106, 8, 29, 119, 88, 49, 115, 34, 49, 47, 123, 72, 121, 16, 94, 26]"
7,dtree,35,9,9,17,"[4, 5, 12, 13, 24, 42, 47, 55, 58, 67, 80, 84, 89, 90, 94, 95, 97, 100, 109, 113, 124, 140, 148, 154, 156, 158, 159, 180, 186, 187, 190, 195, 198, 218, 219]","[4, 5, 8, 8, 9, 15, 20, 24, 24, 31, 35, 39, 44, 45, 49, 50, 52, 53, 55, 59, 61, 68, 76, 82, 84, 85, 85, 91, 96, 97, 100, 105, 108, 128, 129]","[30, 85, 115, 46, 46, 58, 86, 91, 125, 58, 85, 91, 70, 29, 64, 23, 32, 24, 24, 32, 102, 8, 58, 51, 27, 32, 32, 53, 72, 72, 85, 32, 86, 72, 46]"
8,dtree,37,8,9,20,"[3, 4, 5, 10, 15, 31, 42, 47, 56, 58, 65, 67, 77, 80, 94, 95, 97, 105, 109, 139, 142, 144, 161, 168, 170, 183, 186, 190, 191, 192, 193, 195, 198, 202, 205, 209, 217]","[3, 4, 5, 8, 8, 13, 15, 20, 24, 24, 29, 31, 32, 35, 49, 50, 52, 53, 55, 67, 70, 72, 85, 87, 89, 93, 96, 100, 101, 102, 103, 105, 108, 112, 115, 119, 127]","[9, 61, 67, 58, 73, 32, 58, 24, 91, 54, 125, 58, 59, 85, 125, 125, 106, 102, 80, 59, 89, 28, 34, 26, 108, 8, 72, 85, 120, 103, 29, 85, 78, 89, 27, 57, 63]"
9,dtree,31,4,8,19,"[5, 17, 42, 47, 57, 67, 69, 71, 78, 80, 84, 88, 90, 94, 97, 108, 111, 139, 144, 148, 168, 170, 186, 190, 192, 195, 198, 202, 217, 218, 219]","[5, 8, 15, 20, 24, 31, 32, 32, 33, 35, 39, 43, 45, 49, 52, 54, 57, 67, 72, 76, 87, 89, 96, 100, 102, 105, 108, 112, 127, 128, 129]","[49, 71, 58, 94, 20, 58, 13, 85, 29, 85, 93, 64, 66, 72, 32, 49, 119, 5, 8, 112, 53, 51, 72, 58, 47, 94, 119, 70, 63, 72, 9]"
