fold,classifier,large pre,large re,large f1,medium pre,medium re,medium f1,small pre,small re,small f1,all acc,all pre,all re,all f1,all mcc
0,dtree,0.9032,0.93,0.9121,0.6667,0.7778,0.7,0.6557,0.7105,0.6732,0.8235,0.7699,0.8235,0.7868,0.82
1,dtree,0.877,0.9,0.8852,0.8278,0.9111,0.8533,0.7566,0.7763,0.7632,0.8597,0.8255,0.8597,0.8367,0.8568
2,dtree,0.9636,0.96,0.9593,0.7,0.8667,0.7519,0.6754,0.7237,0.6908,0.8597,0.8108,0.8597,0.8247,0.857
3,dtree,0.8988,0.94,0.9174,0.7815,0.8889,0.8148,0.6667,0.7237,0.6842,0.8552,0.7951,0.8552,0.8163,0.8523
4,dtree,0.9379,0.95,0.9412,0.755,0.8667,0.787,0.6711,0.7237,0.6886,0.8552,0.8089,0.8552,0.8229,0.8526
5,dtree,0.9385,0.93,0.9331,0.7926,0.9111,0.8252,0.6557,0.7105,0.6732,0.8507,0.8115,0.8507,0.8218,0.8478
6,dtree,0.945,0.92,0.9302,0.7519,0.8444,0.7815,0.7083,0.7632,0.7259,0.8507,0.8243,0.8507,0.8296,0.8479
7,dtree,0.8801,0.91,0.8908,0.7,0.8,0.7289,0.7314,0.7763,0.7443,0.8416,0.7923,0.8416,0.8075,0.8386
8,dtree,0.9246,0.92,0.9202,0.6852,0.8,0.7178,0.6908,0.7368,0.7061,0.8326,0.7954,0.8326,0.8054,0.8292
9,dtree,0.9259,0.96,0.9408,0.7463,0.8222,0.7682,0.7149,0.75,0.7259,0.8597,0.8168,0.8597,0.8317,0.8569
0,knn,0.8571,0.91,0.8729,0.8,0.8444,0.8148,0.7741,0.8158,0.7873,0.8643,0.8169,0.8643,0.8316,0.8618
1,knn,0.8819,0.89,0.8739,0.8489,0.9111,0.8667,0.7675,0.8026,0.7785,0.8643,0.8359,0.8643,0.8396,0.8622
2,knn,0.8976,0.96,0.9231,0.8111,0.8667,0.8296,0.7873,0.8158,0.7961,0.8914,0.842,0.8914,0.8604,0.8893
3,knn,0.906,0.93,0.9131,0.8556,0.9111,0.8741,0.8004,0.8289,0.8092,0.8914,0.8594,0.8914,0.8694,0.8893
4,knn,0.8847,0.95,0.9126,0.9,0.9333,0.9111,0.761,0.7763,0.7654,0.8869,0.8453,0.8869,0.8617,0.8846
5,knn,0.88,0.92,0.894,0.8389,0.8889,0.8533,0.7346,0.7763,0.7478,0.8643,0.8216,0.8643,0.8354,0.8615
6,knn,0.8233,0.89,0.8484,0.8407,0.8667,0.8481,0.8004,0.8158,0.8048,0.8597,0.819,0.8597,0.8334,0.857
7,knn,0.8877,0.92,0.8956,0.8185,0.8889,0.8407,0.7873,0.8158,0.7961,0.8778,0.8391,0.8778,0.8502,0.8758
8,knn,0.8484,0.88,0.8584,0.8,0.8444,0.8148,0.7807,0.8158,0.7917,0.8507,0.8153,0.8507,0.8266,0.8476
9,knn,0.8814,0.92,0.8952,0.8556,0.8889,0.8667,0.7599,0.8026,0.7728,0.8733,0.8343,0.8733,0.8473,0.8709
0,rf,0.9065,0.96,0.9273,0.7407,0.8,0.7593,0.7675,0.8158,0.7829,0.8778,0.825,0.8778,0.8434,0.8755
1,rf,0.8864,0.95,0.9142,0.8389,0.9111,0.8607,0.7895,0.8026,0.7939,0.8914,0.8434,0.8914,0.8619,0.8892
2,rf,0.8959,0.99,0.937,0.7944,0.8444,0.8089,0.7697,0.7895,0.7763,0.8914,0.8319,0.8914,0.8557,0.8893
3,rf,0.9026,0.95,0.9228,0.8852,0.9111,0.8926,0.8004,0.8421,0.8136,0.905,0.8639,0.905,0.8791,0.9031
4,rf,0.9135,0.96,0.9305,0.8519,0.9111,0.8704,0.7961,0.8026,0.7982,0.8959,0.8606,0.8959,0.8728,0.894
5,rf,0.8924,0.96,0.9236,0.8111,0.8889,0.8326,0.6974,0.7368,0.7105,0.8688,0.8088,0.8688,0.8318,0.8661
6,rf,0.9321,0.97,0.9478,0.8722,0.9111,0.883,0.807,0.8289,0.8136,0.9095,0.8769,0.9095,0.8885,0.9077
7,rf,0.9016,0.95,0.9216,0.7944,0.8667,0.8163,0.8026,0.8289,0.8114,0.8914,0.8457,0.8914,0.8623,0.8893
8,rf,0.8861,0.93,0.9044,0.8167,0.8667,0.8311,0.7939,0.8158,0.8004,0.8778,0.8402,0.8778,0.8537,0.8753
9,rf,0.9365,0.96,0.946,0.8907,0.9333,0.9015,0.7632,0.8026,0.7763,0.9005,0.8676,0.9005,0.8786,0.8985
0,svm,0.824,0.96,0.879,0.7519,0.7778,0.7593,0.682,0.7105,0.6908,0.8371,0.7605,0.8371,0.7899,0.834
1,svm,0.8778,0.96,0.9127,0.8611,0.9333,0.883,0.7697,0.7763,0.7719,0.8914,0.8372,0.8914,0.8583,0.8893
2,svm,0.8485,0.99,0.9017,0.763,0.8,0.7741,0.7237,0.7237,0.7237,0.8597,0.7882,0.8597,0.8145,0.8578
3,svm,0.8545,0.95,0.8926,0.8741,0.9111,0.8852,0.7412,0.7632,0.7478,0.8778,0.8195,0.8778,0.8413,0.8756
4,svm,0.8801,0.97,0.9138,0.8519,0.8889,0.863,0.7303,0.7368,0.7325,0.8733,0.8228,0.8733,0.8411,0.8712
5,svm,0.8581,0.95,0.8923,0.8111,0.8667,0.8252,0.6974,0.7105,0.7018,0.8507,0.7933,0.8507,0.8131,0.8482
6,svm,0.8518,0.97,0.8992,0.8407,0.8667,0.8481,0.7039,0.7237,0.7105,0.8643,0.7987,0.8643,0.8239,0.8617
7,svm,0.8372,0.96,0.8877,0.8056,0.8444,0.8163,0.7697,0.7763,0.7719,0.8733,0.8075,0.8733,0.8333,0.8709
8,svm,0.838,0.96,0.8871,0.7852,0.8222,0.7963,0.7566,0.7632,0.7588,0.8643,0.7992,0.8643,0.8245,0.8617
9,svm,0.8536,0.96,0.8974,0.7833,0.8222,0.7941,0.7368,0.75,0.7412,0.8597,0.7992,0.8597,0.8226,0.857
