sig pair,all f1,large f1,medium f1,small f1
baseline_all vs. baseline_part,0.781837019498804,0.5669659858904128,0.07066194516296921,0.1735512362384318
baseline_all vs. smote_part,0.0014686963988695756,0.0019066165097318263,0.9925964913269347,0.00029212108238996795
baseline_all vs. avpass_part,1.2810933655947703e-12,1.3838378570671417e-05,0.0033900063332998605,1.3112844087889778e-14
baseline_all vs. sia_part,5.114805190811497e-12,1.1548437306022258e-17,1.9136057670550747e-07,5.039183422691372e-09
baseline_all vs. mlp_part,0.01985361115871258,0.8598265574195645,0.0010282929614226185,0.2514664619017821
baseline_all vs. prototype_part,6.641482546511505e-05,4.007183577717848e-06,8.21793339681797e-05,0.025125107353933085
baseline_all vs. relation_part,7.262880136415643e-05,0.33055479296864837,4.2936841764976114e-09,4.831329319627775e-09
baseline_all vs. gat_part,0.0037504726899402745,0.0012676656474012384,0.00021782995934934837,0.9156477305307589
baseline_all vs. ggnn_part,0.35743342275841206,0.32833985788611053,0.0028589394973359055,0.23175026044362843
baseline_part vs. smote_part,0.003370431693717356,0.010664680452982894,0.0836201658865392,0.008044053322735058
baseline_part vs. avpass_part,2.929731565062625e-12,2.603009623310594e-05,0.00015977080076621175,6.893907605734209e-13
baseline_part vs. sia_part,2.7891135739619542e-12,6.744693471901698e-17,1.170887050839191e-08,1.2643331063579576e-08
baseline_part vs. mlp_part,0.016548271979065835,0.7735382343090402,0.05916795930690013,0.017375537991152667
baseline_part vs. prototype_part,8.79675904598961e-05,1.6699862233583498e-06,0.008421955329270495,0.5031166015874584
baseline_part vs. relation_part,5.380036217005276e-05,0.27662393332805413,9.939526546388479e-08,6.9852243347315005e-09
baseline_part vs. gat_part,0.003484141354996253,0.0009945533090875837,0.023286841111310755,0.19020619095088723
baseline_part vs. ggnn_part,0.2717807331256384,0.21146757378538425,0.20259653110864753,0.865743494261505
smote_part vs. avpass_part,1.2507947329171173e-09,0.0027131499340131843,0.004064049833849535,3.7525788047010086e-11
smote_part vs. sia_part,2.7298352119972235e-11,2.2418885683897326e-15,3.057697706751577e-07,3.8165511552339363e-07
smote_part vs. mlp_part,2.20494012991093e-05,0.011564963762564709,0.0015601818196932626,2.3701808369224256e-05
smote_part vs. prototype_part,4.933719403256045e-07,6.007516650759101e-08,0.00018246670637074702,0.013076207208147419
smote_part vs. relation_part,2.350894042716016e-06,0.08423812322073101,1.139072025815566e-08,9.053912123022184e-10
smote_part vs. gat_part,6.165102917655632e-06,3.527088885445601e-06,0.0004660617166049897,0.0002898980911374895
smote_part vs. ggnn_part,0.0007824270180005562,0.006406890349587194,0.004741003519779504,0.005558149811935735
avpass_part vs. sia_part,4.247022381506463e-05,6.845758197882338e-11,0.003586855789753723,0.0014352875168913827
avpass_part vs. mlp_part,4.762931921525026e-13,2.4344988637096294e-05,8.148869148931438e-06,3.014227329964149e-17
avpass_part vs. prototype_part,3.4111195151014734e-14,1.3626670554962373e-09,4.0557508776999505e-06,2.902293329683728e-16
avpass_part vs. relation_part,2.8758667314256533e-09,0.010684000367896188,5.930171124166817e-09,2.468869558955424e-20
avpass_part vs. gat_part,1.255983158155763e-13,2.4903777305750674e-07,7.98001737875946e-06,2.5473574899378063e-15
avpass_part vs. ggnn_part,2.2414123032275294e-11,3.145029372090168e-05,2.627697628937343e-05,5.640292070338223e-13
sia_part vs. mlp_part,1.2513959814343958e-11,4.588061791960653e-15,9.303364040747452e-10,6.8216313312802135e-09
sia_part vs. prototype_part,1.3140876073926288e-12,3.54573274190934e-14,5.265898610373578e-10,7.047652657827714e-08
sia_part vs. relation_part,2.2260312476720975e-11,7.247356820683047e-06,1.3400093662401915e-12,3.140845899068825e-10
sia_part vs. gat_part,3.216485079063811e-12,3.4739677462193e-18,1.1692444004649695e-09,7.187129388905153e-09
sia_part vs. ggnn_part,7.684747853624788e-13,2.8147086260085775e-11,2.5903984691721577e-09,1.071015707052106e-08
mlp_part vs. prototype_part,0.005804641601017682,2.9640817418459757e-06,0.5124195920492984,0.00048443713403689676
mlp_part vs. relation_part,0.0004425866208158718,0.31533946394180323,5.755963509319469e-06,2.492411873947215e-10
mlp_part vs. gat_part,0.32090907506755084,0.0063003324418964375,0.8912111059687566,0.1896808717079243
mlp_part vs. ggnn_part,0.37077906367643454,0.3171604405375464,0.3557776780320502,0.02574319849967977
prototype_part vs. relation_part,0.0035923979537225096,0.16783796666340012,4.5643537807871896e-06,1.530779034163159e-12
prototype_part vs. gat_part,0.06047115894258037,0.00021855849635395475,0.518282760024669,0.02498871737390666
prototype_part vs. ggnn_part,0.008721797001177136,0.0002144588862103724,0.07067399984814536,0.38743215238085005
relation_part vs. gat_part,0.0008283112149282966,0.8661253806502307,1.3941401782951763e-06,1.1477880220486498e-09
relation_part vs. ggnn_part,0.00016416301080209158,0.5573472150234982,2.2863225484986836e-07,8.157585846593618e-09
gat_part vs. ggnn_part,0.13388198235341256,0.26298811517254833,0.19805910214921937,0.25471562796444874
