sig pair,approach,all f1,large f1,medium f1,small f1
feature_all vs. feature_link,baseline_all,0.29607318580282704,0.12738563193550306,0.6699388329385947,0.6617502869068199
feature_all vs. feature_sim,baseline_all,0.005623362605786776,0.0058212256096344265,0.06875678807207604,0.17251682916106462
feature_link vs. feature_sim,baseline_all,0.06558238748822706,0.08396364782821553,0.13061262257971565,0.3526201293127369
feature_all vs. feature_link,baseline_part,0.5772546101307523,0.0986651491202527,0.5637268357208045,0.9409847599281816
feature_all vs. feature_sim,baseline_part,0.0036555692103182667,0.00023224978100397015,0.15507191353070823,0.2366416667647388
feature_link vs. feature_sim,baseline_part,0.03158864489028329,0.034245951306327335,0.056890224199236485,0.2764929057933959
feature_all vs. feature_link,smote_part,0.10046686041219577,0.004538205343984378,0.37116897505447277,0.8104002991121586
feature_all vs. feature_sim,smote_part,0.0012510181620915498,0.00013638528316324653,0.007802661944701089,0.3569505911575265
feature_link vs. feature_sim,smote_part,0.0379520506082737,0.035381020614641275,0.11739862383009933,0.5109544028191468
feature_all vs. feature_link,avpass_part,0.0021548651223140805,0.000728026315132676,0.4452040527252781,0.061247242352793545
feature_all vs. feature_sim,avpass_part,0.0005542505505832708,0.0013999674750982817,0.313714774775226,0.013998637647901283
feature_link vs. feature_sim,avpass_part,0.9221736270183998,0.8559726244246777,0.9556177888234305,0.7267155764460147
feature_all vs. feature_link,sia_part,0.9791449722186767,0.06602648024207923,0.388299146602881,0.9328067499872537
feature_all vs. feature_sim,sia_part,0.9318513889300231,0.5366833222738053,0.6861713707794489,0.8420818202823447
feature_link vs. feature_sim,sia_part,0.9187153776628139,0.2964857728583915,0.7511011436532956,0.7982193310086935
feature_all vs. feature_link,mlp_part,0.03093742020447979,0.000996051390696757,0.9132247022005746,0.619672834041092
feature_all vs. feature_sim,mlp_part,6.10273491962152e-05,0.0007106805606374598,0.24940748679192407,0.3547760020673164
feature_link vs. feature_sim,mlp_part,0.2148066138767423,0.36640150040673414,0.3329925784170866,0.7016456207700218
feature_all vs. feature_link,prototype_part,0.0015386177543773604,0.10559995288676292,0.002380410086448523,0.04476082149533814
feature_all vs. feature_sim,prototype_part,2.8098533203208834e-05,0.005930940225950039,0.00945208892625638,0.0005914981553791083
feature_link vs. feature_sim,prototype_part,0.12345428158385946,0.1827686859878046,0.5996092065152954,0.1923752473946036
feature_all vs. feature_link,relation_part,0.9633325610166841,0.9800665528365881,0.5237271203907823,0.47523733024031645
feature_all vs. feature_sim,relation_part,0.15230681477332708,0.20609132647183837,0.23689815814123444,0.4990927143730802
feature_link vs. feature_sim,relation_part,0.08031719942728892,0.13255745814882272,0.09117736880802214,0.9650086403403649
feature_all vs. feature_link,gat_part,0.046836567304600334,0.0016273053432470917,0.6692216119857491,0.8263413268412693
feature_all vs. feature_sim,gat_part,0.029962809180626843,0.00042537332536104577,0.08946763553161712,0.8011500582278046
feature_link vs. feature_sim,gat_part,0.9743046949245822,0.5245707572662268,0.20971641767589325,0.6304380391346498
feature_all vs. feature_link,ggnn_part,0.05566542955654343,0.06058290547036753,0.2421084911823106,0.318607780898913
feature_all vs. feature_sim,ggnn_part,0.04531982583703741,0.08204633334634417,0.043618435641039274,0.4246620781601975
feature_link vs. feature_sim,ggnn_part,0.9116454563178482,0.8890114227993213,0.5186490667237353,0.8882489417324608
