approach,feature,all f1 (mean),large f1 (mean),medium f1 (mean),small f1 (mean),all f1 (std),large f1 (std),medium f1 (std),small f1 (std),all false (mean),large false (mean),medium false (mean),small false (mean),all false (std),large false (std),medium false (std),small false (std)
baseline_all,feature_all,0.87,0.929,0.8562,0.7643,0.0123,0.0166,0.0325,0.0351,20,4,4,11,2,1,1,1
baseline_part,feature_all,0.8729,0.937,0.8054,0.8053,0.0131,0.0175,0.0531,0.0265,20,4,6,9,2,1,1,1
smote_part,feature_all,0.8844,0.9323,0.833,0.835,0.0178,0.0196,0.0366,0.0347,19,7,5,7,3,2,1,1
avpass_part,feature_all,0.9169,0.9349,0.8627,0.9294,0.0199,0.02,0.0386,0.0236,15,8,4,1,3,2,1,0
sia_part,feature_all,0.943,0.9717,0.9113,0.9143,0.011,0.0073,0.0338,0.0277,9,2,2,3,1,1,1,1
mlp_part,feature_all,0.864,0.9361,0.7909,0.7857,0.012,0.0171,0.0362,0.0346,21,4,6,9,1,1,1,1
prototype_part,feature_all,0.8299,0.9207,0.7166,0.7503,0.0203,0.0168,0.0481,0.0348,28,8,10,10,3,1,1,1
relation_part,feature_all,0.4552,0.7335,0.2401,0.0922,0.0453,0.0752,0.0623,0.0325,88,15,30,43,7,7,2,1
gat_part,feature_all,0.8664,0.9327,0.7946,0.7987,0.0198,0.0168,0.0629,0.0268,21,6,6,9,3,2,2,1
ggnn_part,feature_all,0.8592,0.9303,0.7905,0.7787,0.0184,0.0159,0.051,0.0328,22,6,6,9,2,1,2,1
baseline_all,feature_link,0.8617,0.9303,0.8502,0.735,0.0095,0.0197,0.0398,0.0294,21,4,4,12,1,2,1,1
baseline_part,feature_link,0.8585,0.9336,0.7946,0.766,0.0138,0.0164,0.0428,0.0379,22,4,7,10,2,1,1,1
smote_part,feature_link,0.8743,0.928,0.8283,0.8083,0.0205,0.0198,0.0412,0.0284,22,8,5,8,3,2,1,1
avpass_part,feature_link,0.9035,0.929,0.8602,0.8914,0.0185,0.0243,0.0345,0.0218,17,9,4,3,3,2,1,0
sia_part,feature_link,0.929,0.9709,0.911,0.8613,0.0137,0.0082,0.0394,0.023,11,2,2,6,1,1,1,1
mlp_part,feature_link,0.8469,0.927,0.78,0.747,0.019,0.0149,0.0621,0.0512,24,5,7,11,2,1,2,2
prototype_part,feature_link,0.7968,0.891,0.6879,0.7066,0.0208,0.0263,0.0759,0.0501,34,11,11,11,3,2,2,2
relation_part,feature_link,0.4168,0.6615,0.2411,0.0856,0.0636,0.1051,0.0615,0.0605,96,22,29,44,11,9,2,3
gat_part,feature_link,0.8468,0.9362,0.7613,0.745,0.0324,0.024,0.0742,0.0518,24,5,7,11,5,1,3,2
ggnn_part,feature_link,0.8511,0.9312,0.7953,0.741,0.0167,0.0133,0.0609,0.0499,24,5,6,11,2,1,2,2
baseline_all,feature_sim,0.8626,0.9276,0.8296,0.762,0.0193,0.0178,0.0589,0.0424,21,4,5,11,3,1,2,2
baseline_part,feature_sim,0.8637,0.9292,0.7907,0.7987,0.0181,0.0221,0.0611,0.0348,21,6,6,9,3,2,2,1
smote_part,feature_sim,0.8782,0.9259,0.8046,0.849,0.0178,0.025,0.0433,0.0377,21,8,6,6,3,3,1,1
avpass_part,feature_sim,0.9016,0.9253,0.8461,0.9043,0.0202,0.0267,0.0312,0.0305,17,9,5,2,3,3,1,1
sia_part,feature_sim,0.9388,0.9718,0.912,0.897,0.0067,0.0072,0.0356,0.0128,9,3,2,4,1,1,1,0
mlp_part,feature_sim,0.8529,0.926,0.7731,0.7783,0.0129,0.0154,0.0546,0.0259,23,5,7,10,2,1,2,1
prototype_part,feature_sim,0.8021,0.8938,0.6735,0.7343,0.0238,0.0286,0.0598,0.0333,34,11,11,10,4,3,2,1
relation_part,feature_sim,0.4401,0.7206,0.2155,0.0812,0.0852,0.1424,0.0969,0.046,91,14,31,44,15,13,4,2
gat_part,feature_sim,0.8373,0.9223,0.7399,0.755,0.0216,0.0209,0.06,0.0397,26,6,8,10,3,2,2,1
ggnn_part,feature_sim,0.8475,0.9306,0.7723,0.7491,0.0262,0.0205,0.0614,0.0493,24,6,7,11,4,2,2,2
