approach,all f1 (mean),large f1 (mean),medium f1 (mean),small f1 (mean),all f1 (std),large f1 (std),medium f1 (std),small f1 (std),all false (mean),large false (mean),medium false (mean),small false (mean),all false (std),large false (std),medium false (std),small false (std)
10,0.1558,0.2742,0.0697,0.013,0.0041,0.0115,0.0195,0.0119,152,58,34,59,1,1,0,0
20,0.343,0.5304,0.2021,0.12,0.0239,0.0373,0.035,0.0172,117,37,28,52,5,4,1,1
30,0.5736,0.7895,0.4224,0.3094,0.0154,0.0351,0.0424,0.0314,72,12,19,40,3,4,2,1
40,0.639,0.8575,0.4751,0.3786,0.0416,0.0271,0.0929,0.0615,59,7,16,35,7,2,3,4
50,0.6929,0.9024,0.5315,0.4461,0.0592,0.0199,0.116,0.1016,50,3,14,32,10,1,4,6
60,0.7349,0.9161,0.5933,0.5224,0.0405,0.0274,0.0753,0.0681,42,2,12,27,6,1,3,3
70,0.7639,0.9296,0.6223,0.5773,0.0376,0.0153,0.0795,0.0651,37,1,12,23,6,1,3,4
80,0.7744,0.9373,0.6287,0.5953,0.0502,0.0196,0.1123,0.0835,36,1,11,22,9,1,4,5
90,0.7461,0.9297,0.5804,0.5453,0.0487,0.0197,0.0974,0.0901,41,2,13,26,8,1,3,5
100,0.7757,0.9358,0.6354,0.5976,0.036,0.0119,0.0647,0.0786,36,2,11,23,6,1,2,4
110,0.7434,0.9308,0.5745,0.5383,0.0533,0.0218,0.0837,0.1,41,2,13,26,9,1,3,6
120,0.7651,0.9309,0.6308,0.5737,0.0586,0.0253,0.1089,0.1078,37,2,11,24,9,1,4,6
130,0.7446,0.9261,0.5784,0.5476,0.0575,0.02,0.1095,0.1022,41,2,13,25,9,1,4,6
140,0.7553,0.9311,0.6119,0.5533,0.0503,0.0178,0.0999,0.0948,39,1,12,25,9,1,3,6
150,0.7726,0.9363,0.6615,0.5703,0.033,0.012,0.0722,0.0582,36,1,10,24,5,0,2,3
160,0.7565,0.9268,0.6019,0.5705,0.0558,0.018,0.1232,0.0999,38,2,12,24,9,1,4,6
170,0.7518,0.9264,0.6103,0.5504,0.0445,0.0174,0.0785,0.0857,40,2,12,25,7,1,3,4
180,0.7751,0.9314,0.6274,0.6083,0.0209,0.014,0.0461,0.058,35,1,11,22,3,1,2,3
190,0.7491,0.9283,0.5956,0.5477,0.0574,0.0198,0.1063,0.1022,40,1,13,25,10,1,4,5
200,0.7686,0.9302,0.6295,0.5875,0.0404,0.0131,0.065,0.0862,36,2,11,23,6,0,2,4
210,0.7486,0.9273,0.6052,0.5416,0.0495,0.023,0.1008,0.0834,40,2,12,26,9,1,4,5
220,0.7442,0.9262,0.5879,0.54,0.05,0.0235,0.1062,0.0712,41,2,13,26,8,1,4,4
221,0.7806,0.9335,0.6238,0.625,0.0397,0.0186,0.0643,0.0816,34,1,11,21,6,1,2,5
