sig pair,all f1,large f1,medium f1,small f1
10 vs. 20,1.465177201383443e-20,7.0431275831583066e-15,1.0337157710945449e-14,5.892920466223212e-17
20 vs. 30,5.4444379520824284e-11,6.260490115131411e-07,1.5541588878322735e-05,1.0728170463915205e-08
30 vs. 40,0.07453702595617075,0.05365867346710652,0.2709442681085495,0.3720899815231513
40 vs. 50,0.516337607556666,0.5438847219809966,0.940268768555169,0.4335423679383472
50 vs. 60,0.9385295250604142,0.744737136265565,0.9269362931477825,0.870164598360184
60 vs. 70,0.7060491472326247,0.6510172413645714,0.7247104323040366,0.915493090855118
70 vs. 80,0.7121150552046324,0.6661129225897219,0.7510313713545889,0.9634814246252861
80 vs. 90,0.7065509807240227,0.8629281744432011,0.9679549457983543,0.5748289687481372
90 vs. 100,0.8731907941441476,0.806564295762825,0.8627662944970005,0.9272850600861535
100 vs. 110,0.7332501537469848,0.8229308046874029,0.8459040312432948,0.592753531489556
110 vs. 120,0.24869592055405254,0.8788930567800848,0.7745954008725423,0.23059028113121013
120 vs. 130,0.1904889009030357,0.9944379777351653,0.3559066472305604,0.47021435480897755
130 vs. 140,0.9516880672617615,1.0,0.8266767028812444,0.8381976978981931
140 vs. 150,0.4718279879323297,0.5832672214778127,0.8772551631531926,0.1954198783139047
150 vs. 160,0.926730450328523,0.6585943334056481,0.7859694016495049,0.5369565067985926
160 vs. 170,0.7044047877574717,0.8621154038244305,0.820980499852603,0.6475324864509875
170 vs. 180,0.7963225655287496,0.8694795103477699,0.9371916805645459,0.6973953054288335
180 vs. 190,0.7846577663720214,0.8600888448547517,0.9588965493929766,0.800210189847157
190 vs. 200,0.6449424333119442,0.9796079554503626,0.8305286791444777,0.6754255579892345
200 vs. 210,0.6855800951210925,0.9734123030322256,0.8441188032903676,0.4107971962497613
210 vs. 220,0.6199975473775625,0.9940015588705107,0.7028991916548494,0.28650294752946426
220 vs. 221,0.23889658804892044,0.6267715431536496,0.639369431516503,0.37642024181828004
