fold,classifier,all false,large false,medium false,small false,sample index,sample true family,sample false family
0,dtree,15,1,2,12,"[28, 42, 47, 67, 75, 80, 88, 94, 97, 111, 144, 186, 190, 195, 217]","[10, 15, 20, 31, 32, 35, 43, 49, 52, 57, 72, 96, 100, 105, 127]","[54, 58, 9, 58, 13, 85, 64, 64, 17, 119, 123, 72, 85, 85, 63]"
1,dtree,18,3,2,13,"[7, 37, 42, 47, 67, 69, 75, 91, 94, 97, 144, 184, 186, 190, 195, 198, 217, 218]","[7, 13, 15, 20, 31, 32, 32, 46, 49, 52, 72, 94, 96, 100, 105, 108, 127, 128]","[93, 32, 58, 36, 58, 85, 13, 41, 48, 122, 117, 43, 72, 58, 127, 78, 63, 11]"
2,dtree,18,1,4,13,"[2, 5, 39, 42, 47, 63, 67, 80, 81, 91, 97, 144, 186, 190, 195, 209, 217, 218]","[2, 5, 13, 15, 20, 27, 31, 35, 36, 46, 52, 72, 96, 100, 105, 119, 127, 128]","[66, 108, 32, 58, 91, 20, 58, 85, 30, 115, 38, 81, 72, 51, 58, 57, 44, 52]"
3,dtree,22,5,2,15,"[5, 42, 47, 67, 69, 75, 76, 80, 86, 88, 91, 94, 97, 107, 111, 157, 186, 190, 195, 202, 218, 220]","[5, 15, 20, 31, 32, 32, 32, 35, 41, 43, 46, 49, 52, 53, 57, 85, 96, 100, 105, 112, 128, 130]","[24, 58, 67, 58, 13, 98, 13, 85, 0, 64, 38, 39, 64, 23, 119, 34, 72, 85, 91, 22, 66, 126]"
4,dtree,21,3,4,14,"[3, 6, 16, 38, 42, 47, 64, 67, 73, 95, 96, 124, 144, 150, 186, 190, 195, 198, 208, 217, 218]","[3, 6, 8, 13, 15, 20, 28, 31, 32, 50, 51, 61, 72, 78, 96, 100, 105, 108, 118, 127, 128]","[130, 87, 71, 32, 58, 53, 62, 58, 98, 61, 66, 50, 93, 108, 72, 85, 103, 32, 83, 63, 89]"
5,dtree,20,4,2,14,"[42, 47, 67, 77, 80, 94, 97, 127, 139, 142, 157, 160, 162, 184, 186, 190, 194, 195, 209, 217]","[15, 20, 31, 32, 35, 49, 52, 64, 67, 70, 85, 85, 85, 94, 96, 100, 104, 105, 119, 127]","[58, 53, 58, 108, 85, 113, 17, 43, 98, 61, 34, 34, 34, 108, 72, 58, 73, 38, 57, 63]"
6,dtree,22,3,3,16,"[5, 36, 39, 42, 47, 63, 67, 80, 84, 88, 97, 111, 144, 164, 170, 186, 190, 195, 198, 202, 217, 218]","[5, 13, 13, 15, 20, 27, 31, 35, 39, 43, 52, 57, 72, 85, 89, 96, 100, 105, 108, 112, 127, 128]","[85, 117, 125, 58, 127, 35, 58, 85, 42, 64, 116, 119, 49, 34, 69, 72, 75, 84, 107, 75, 52, 103]"
7,dtree,14,0,3,11,"[42, 47, 67, 80, 86, 91, 94, 113, 148, 186, 190, 195, 198, 217]","[15, 20, 31, 35, 41, 46, 49, 59, 76, 96, 100, 105, 108, 127]","[58, 18, 58, 85, 25, 44, 64, 33, 58, 72, 85, 106, 56, 63]"
8,dtree,20,3,2,15,"[5, 31, 42, 47, 65, 67, 77, 80, 94, 97, 142, 161, 186, 190, 195, 198, 202, 205, 209, 217]","[5, 13, 15, 20, 29, 31, 32, 35, 49, 52, 70, 85, 96, 100, 105, 108, 112, 115, 119, 127]","[103, 32, 58, 125, 129, 58, 13, 85, 6, 3, 54, 34, 72, 85, 68, 78, 16, 88, 57, 63]"
9,dtree,17,3,1,13,"[5, 17, 42, 47, 67, 69, 80, 88, 91, 111, 123, 139, 186, 190, 195, 198, 217]","[5, 8, 15, 20, 31, 32, 35, 43, 46, 57, 60, 67, 96, 100, 105, 108, 127]","[57, 20, 58, 49, 58, 13, 109, 64, 82, 119, 65, 10, 72, 58, 70, 118, 63]"
