layer,fold,classifier,large pre,large re,large f1,medium pre,medium re,medium f1,small pre,small re,small f1,all acc,all pre,all re,all f1,all mcc
1,0,dtree,0.9283,0.94,0.9317,0.7148,0.7778,0.7333,0.6732,0.7368,0.6904,0.8371,0.7971,0.8371,0.8083,0.834
1,1,dtree,0.9327,0.96,0.9429,0.8241,0.9333,0.857,0.6842,0.7105,0.693,0.8688,0.8251,0.8688,0.8395,0.8662
1,2,dtree,0.9809,0.96,0.9689,0.737,0.8444,0.7704,0.6436,0.7105,0.6632,0.8507,0.8153,0.8507,0.8233,0.8479
1,3,dtree,0.9345,0.94,0.9338,0.787,0.8889,0.8163,0.6908,0.7368,0.7061,0.8597,0.8206,0.8597,0.8316,0.857
1,4,dtree,0.947,0.95,0.9442,0.7607,0.8444,0.7815,0.6974,0.7368,0.7105,0.8552,0.8232,0.8552,0.8307,0.8527
1,5,dtree,0.9493,0.92,0.9319,0.7507,0.8667,0.783,0.6908,0.75,0.7083,0.8507,0.82,0.8507,0.8247,0.848
1,6,dtree,0.99,0.96,0.9742,0.7772,0.8444,0.7944,0.67,0.7368,0.6895,0.8597,0.8366,0.8597,0.8397,0.8574
1,7,dtree,0.9742,0.97,0.9698,0.7278,0.8222,0.7533,0.6765,0.7368,0.6939,0.8597,0.8217,0.8597,0.8308,0.8572
1,8,dtree,0.9618,0.94,0.9499,0.8207,0.9111,0.8448,0.6732,0.7105,0.6842,0.8552,0.8339,0.8552,0.8371,0.853
1,9,dtree,0.9616,0.95,0.9546,0.813,0.8889,0.8348,0.7478,0.7895,0.761,0.8824,0.8578,0.8824,0.8636,0.8801
1,0,knn,0.8964,0.92,0.8993,0.8741,0.9111,0.8852,0.8125,0.8421,0.8211,0.8914,0.863,0.8914,0.8695,0.8897
1,1,knn,0.9058,0.9,0.8915,0.9044,0.9556,0.9185,0.8268,0.8553,0.8355,0.8959,0.8784,0.8959,0.8777,0.8945
1,2,knn,0.9373,0.96,0.9452,0.8481,0.9111,0.8667,0.7939,0.8289,0.8048,0.905,0.8698,0.905,0.881,0.9032
1,3,knn,0.9233,0.95,0.9335,0.8667,0.9111,0.8815,0.8333,0.8553,0.8399,0.9095,0.8808,0.9095,0.8907,0.9077
1,4,knn,0.9112,0.96,0.9331,0.9333,0.9556,0.9407,0.7906,0.8158,0.7969,0.9095,0.8742,0.9095,0.8878,0.9077
1,5,knn,0.9199,0.93,0.9193,0.8833,0.9333,0.8978,0.8268,0.8553,0.8355,0.905,0.8804,0.905,0.8861,0.9033
