net,fold,classifier,large pre,large re,large f1,medium pre,medium re,medium f1,small pre,small re,small f1,all acc,all pre,all re,all f1,all mcc
cnn,0,dtree,0.9002,0.95,0.921,0.5241,0.6444,0.557,0.5592,0.6053,0.5724,0.7692,0.7063,0.7692,0.727,0.7644
cnn,1,dtree,0.944,0.96,0.9503,0.7611,0.8667,0.7941,0.6272,0.6842,0.6447,0.8462,0.7978,0.8462,0.8134,0.8431
cnn,2,dtree,0.8395,0.87,0.8469,0.4944,0.6889,0.5533,0.455,0.5263,0.4768,0.7149,0.637,0.7149,0.6598,0.709
cnn,3,dtree,0.8872,0.94,0.9081,0.6333,0.7556,0.6704,0.5965,0.6316,0.6075,0.7964,0.7355,0.7964,0.7563,0.7921
cnn,4,dtree,0.8941,0.92,0.9028,0.6259,0.7778,0.6704,0.5461,0.5921,0.5614,0.7783,0.7198,0.7783,0.7381,0.7736
cnn,5,dtree,0.8632,0.87,0.8626,0.6037,0.7333,0.64,0.4682,0.5132,0.4811,0.7195,0.6745,0.7195,0.6861,0.7136
cnn,6,dtree,0.8946,0.88,0.8843,0.5963,0.7333,0.6363,0.5241,0.6053,0.5478,0.7557,0.7065,0.7557,0.7181,0.7508
cnn,7,dtree,0.8105,0.88,0.8405,0.5537,0.6667,0.5867,0.557,0.6184,0.5768,0.7466,0.671,0.7466,0.6981,0.741
cnn,8,dtree,0.9205,0.89,0.903,0.6907,0.8444,0.7385,0.5976,0.6579,0.6149,0.8009,0.7627,0.8009,0.7704,0.797
cnn,9,dtree,0.8188,0.84,0.8219,0.5648,0.6889,0.6015,0.5724,0.6184,0.5877,0.733,0.6823,0.733,0.6965,0.7275
cnn,0,knn,0.8333,0.91,0.8617,0.5037,0.6444,0.5482,0.557,0.6184,0.5768,0.7557,0.6712,0.7557,0.6999,0.7506
cnn,1,knn,0.8903,0.92,0.8939,0.8519,0.9111,0.8704,0.7544,0.7895,0.7654,0.8733,0.8357,0.8733,0.8449,0.8712
cnn,2,knn,0.8428,0.84,0.8277,0.5815,0.7111,0.6222,0.5219,0.6053,0.5482,0.733,0.6792,0.733,0.6898,0.7277
