top,fold,classifier,large pre,large re,large f1,medium pre,medium re,medium f1,small pre,small re,small f1,all acc,all pre,all re,all f1,all mcc
10,0,dtree,0.2956,0.51,0.3158,0.0345,0.0667,0.0393,0.0109,0.0395,0.0161,0.2579,0.1445,0.2579,0.1564,0.2394
10,1,dtree,0.2873,0.47,0.2894,0.0456,0.0667,0.0466,0.0417,0.0526,0.0432,0.2443,0.1536,0.2443,0.1553,0.2236
10,2,dtree,0.2785,0.48,0.2625,0.0235,0.0444,0.0247,0.0197,0.0395,0.0235,0.2398,0.1376,0.2398,0.1319,0.2194
10,3,dtree,0.2956,0.49,0.3013,0.0343,0.0667,0.039,0.0289,0.0395,0.0307,0.2489,0.1507,0.2489,0.1548,0.2287
10,4,dtree,0.2966,0.51,0.2933,0.0455,0.0667,0.0465,0.0148,0.0263,0.0161,0.2534,0.1486,0.2534,0.1477,0.2333
10,5,dtree,0.3118,0.46,0.276,0.0455,0.0667,0.0465,0.0216,0.0395,0.0252,0.2353,0.1578,0.2353,0.143,0.2155
10,6,dtree,0.2932,0.47,0.2597,0.0308,0.0667,0.0356,0.0154,0.0263,0.0169,0.2353,0.1442,0.2353,0.1306,0.2145
10,7,dtree,0.2279,0.51,0.2811,0.0233,0.0444,0.0243,0.0417,0.0526,0.0432,0.2579,0.1222,0.2579,0.147,0.2384
10,8,dtree,0.3015,0.51,0.316,0.0346,0.0667,0.0394,0.0146,0.0263,0.0158,0.2534,0.1485,0.2534,0.1564,0.2334
10,9,dtree,0.2729,0.52,0.3168,0.0233,0.0667,0.0317,0.0114,0.0395,0.0169,0.2624,0.1322,0.2624,0.1556,0.2426
10,0,knn,0.1264,0.09,0.0927,0.0237,0.0667,0.025,0.01,0.0526,0.015,0.0724,0.0655,0.0724,0.0522,0.0703
10,1,knn,0.0789,0.1,0.0691,0.0236,0.0667,0.0249,0.0433,0.0789,0.0463,0.086,0.0554,0.086,0.0523,0.0783
10,2,knn,0.2222,0.07,0.0801,0.0016,0.0444,0.003,0.0229,0.0526,0.0276,0.0588,0.1088,0.0588,0.0463,0.0568
10,3,knn,0.1041,0.06,0.0687,0.0235,0.0667,0.0247,0.0304,0.0658,0.0334,0.0633,0.0623,0.0633,0.0476,0.0603
10,4,knn,0.1556,0.11,0.0765,0.0236,0.0667,0.0248,0.0157,0.0395,0.0177,0.0769,0.0806,0.0769,0.0458,0.0671
10,5,knn,0.2087,0.07,0.0846,0.0013,0.0444,0.0025,0.0232,0.0658,0.0282,0.0633,0.1027,0.0633,0.0485,0.0627
10,6,knn,0.1146,0.04,0.054,0.0015,0.0444,0.0028,0.0169,0.0526,0.0198,0.0452,0.058,0.0452,0.0318,0.0411
10,7,knn,0.1313,0.11,0.0652,0.0014,0.0444,0.0027,0.043,0.0789,0.0457,0.086,0.0745,0.086,0.0458,0.079
10,8,knn,0.1367,0.1,0.1052,0.0015,0.0444,0.0029,0.0156,0.0395,0.0177,0.0679,0.0675,0.0679,0.0543,0.0656
10,9,knn,0.1209,0.12,0.1049,0.0125,0.0667,0.0176,0.0101,0.0526,0.015,0.086,0.0607,0.086,0.0562,0.0839
10,0,rf,0.2956,0.51,0.3158,0.0345,0.0667,0.0393,0.0109,0.0395,0.0161,0.2579,0.1445,0.2579,0.1564,0.2394
10,1,rf,0.2873,0.47,0.2894,0.0456,0.0667,0.0466,0.0417,0.0526,0.0432,0.2443,0.1536,0.2443,0.1553,0.2236
10,2,rf,0.1785,0.47,0.2443,0.0235,0.0444,0.0247,0.0219,0.0395,0.0257,0.2353,0.0931,0.2353,0.1244,0.2144
10,3,rf,0.2956,0.49,0.3013,0.0343,0.0667,0.039,0.0289,0.0395,0.0307,0.2489,0.1507,0.2489,0.1548,0.2287
10,4,rf,0.3059,0.51,0.2899,0.0455,0.0667,0.0465,0.0148,0.0263,0.0161,0.2534,0.1528,0.2534,0.1462,0.2332
10,5,rf,0.2052,0.45,0.2561,0.0455,0.0667,0.0465,0.0216,0.0395,0.0252,0.2308,0.1095,0.2308,0.134,0.2106
10,6,rf,0.2932,0.47,0.2597,0.0308,0.0667,0.0356,0.0154,0.0263,0.0169,0.2353,0.1442,0.2353,0.1306,0.2145
10,7,rf,0.2279,0.51,0.2811,0.0233,0.0444,0.0243,0.0417,0.0526,0.0432,0.2579,0.1222,0.2579,0.147,0.2384
10,8,rf,0.3106,0.52,0.3287,0.0457,0.0667,0.0468,0.0146,0.0263,0.0158,0.2579,0.1549,0.2579,0.1637,0.2382
10,9,rf,0.2729,0.52,0.3168,0.0233,0.0667,0.0317,0.0114,0.0395,0.0169,0.2624,0.1322,0.2624,0.1556,0.2426
10,0,svm,0.2707,0.52,0.3061,0.0345,0.0667,0.0393,0.0066,0.0132,0.0088,0.2534,0.1318,0.2534,0.1495,0.2324
10,1,svm,0.2454,0.48,0.2837,0.0456,0.0667,0.0466,0.0197,0.0263,0.0219,0.2398,0.1271,0.2398,0.1454,0.2176
10,2,svm,0.1914,0.49,0.2594,0.0235,0.0444,0.0247,0.0197,0.0263,0.0219,0.2398,0.0982,0.2398,0.1299,0.218
10,3,svm,0.2331,0.49,0.2884,0.0343,0.0667,0.039,0.0066,0.0132,0.0088,0.2398,0.1147,0.2398,0.1415,0.2179
10,4,svm,0.2268,0.52,0.2901,0.0455,0.0667,0.0465,0.0132,0.0132,0.0132,0.2534,0.1164,0.2534,0.1452,0.2318
10,5,svm,0.2399,0.48,0.286,0.0455,0.0667,0.0465,0.0197,0.0263,0.0219,0.2398,0.1246,0.2398,0.1464,0.219
10,6,svm,0.2075,0.47,0.2533,0.0308,0.0667,0.0356,0.0,0.0,0.0,0.2262,0.1002,0.2262,0.1218,0.2034
10,7,svm,0.1979,0.51,0.2725,0.0233,0.0444,0.0243,0.0197,0.0263,0.0219,0.2489,0.1011,0.2489,0.1358,0.2275
10,8,svm,0.2622,0.53,0.3148,0.0457,0.0667,0.0468,0.0,0.0,0.0,0.2534,0.128,0.2534,0.152,0.2316
10,9,svm,0.2478,0.53,0.3115,0.0233,0.0667,0.0317,0.0066,0.0132,0.0088,0.2579,0.1192,0.2579,0.1504,0.2361
20,0,dtree,0.6924,0.79,0.7269,0.3237,0.4444,0.3556,0.1919,0.2632,0.2136,0.5385,0.4452,0.5385,0.4748,0.5282
20,1,dtree,0.6682,0.74,0.6733,0.3207,0.4889,0.3622,0.2621,0.3158,0.2772,0.543,0.4578,0.543,0.4737,0.5333
20,2,dtree,0.598,0.8,0.6778,0.2481,0.3778,0.2797,0.2116,0.2632,0.2268,0.5294,0.3939,0.5294,0.4416,0.5172
20,3,dtree,0.5859,0.72,0.6271,0.3374,0.4889,0.3796,0.2357,0.2895,0.2509,0.5249,0.4149,0.5249,0.4473,0.5138
20,4,dtree,0.6674,0.75,0.6828,0.2798,0.4,0.3111,0.1996,0.2763,0.2211,0.5158,0.4276,0.5158,0.4483,0.5054
20,5,dtree,0.6625,0.77,0.7042,0.3232,0.5333,0.3744,0.2248,0.2763,0.2399,0.552,0.4429,0.552,0.4774,0.5421
